{0x0e, 0x11, 0x17, 0x15, 0x17, 0x10, 0x0f},@
{0x04, 0x0a, 0x11, 0x11, 0x1f, 0x11, 0x11},A
{0x1e, 0x11, 0x11, 0x1e, 0x11, 0x11, 0x1e},B
{0x0e, 0x11, 0x10, 0x10, 0x10, 0x11, 0x0e},C
{0x1e, 0x09, 0x09, 0x09, 0x09, 0x09, 0x1e},D
{0x1f, 0x10, 0x10, 0x1c, 0x10, 0x10, 0x1f},E
{0x1f, 0x10, 0x10, 0x1f, 0x10, 0x10, 0x10},F
{0x0e, 0x11, 0x10, 0x10, 0x13, 0x11, 0x0f},G
{0x11, 0x11, 0x11, 0x1f, 0x11, 0x11, 0x11},H
{0x0e, 0x04, 0x04, 0x04, 0x04, 0x04, 0x0e},I
{0x1f, 0x02, 0x02, 0x02, 0x02, 0x12, 0x0c},J
{0x11, 0x12, 0x14, 0x18, 0x14, 0x12, 0x11},K
{0x10, 0x10, 0x10, 0x10, 0x10, 0x10, 0x1f},L
{0x11, 0x1b, 0x15, 0x11, 0x11, 0x11, 0x11},M
{0x11, 0x11, 0x19, 0x15, 0x13, 0x11, 0x11},N
{0x0e, 0x11, 0x11, 0x11, 0x11, 0x11, 0x0e},O
{0x1e, 0x11, 0x11, 0x1e, 0x10, 0x10, 0x10},P
{0x0e, 0x11, 0x11, 0x11, 0x15, 0x12, 0x0d},Q
{0x1e, 0x11, 0x11, 0x1e, 0x14, 0x12, 0x11},R
{0x0e, 0x11, 0x10, 0x0e, 0x01, 0x11, 0x0e},S
{0x1f, 0x04, 0x04, 0x04, 0x04, 0x04, 0x04},T
{0x11, 0x11, 0x11, 0x11, 0x11, 0x11, 0x0e},U
{0x11, 0x11, 0x11, 0x11, 0x11, 0x0a, 0x04},V
{0x11, 0x11, 0x11, 0x15, 0x15, 0x1b, 0x11},W
{0x11, 0x11, 0x0a, 0x04, 0x0a, 0x11, 0x11},X
{0x11, 0x11, 0x0a, 0x04, 0x04, 0x04, 0x04},Y
{0x1f, 0x01, 0x02, 0x04, 0x08, 0x10, 0x1f},Z
{0x0e, 0x08, 0x08, 0x08, 0x08, 0x08, 0x0e},[
{0x10, 0x10, 0x08, 0x04, 0x02, 0x01, 0x01},\
{0x0e, 0x02, 0x02, 0x02, 0x02, 0x02, 0x0e},]
{0x04, 0x0a, 0x11, 0x00, 0x00, 0x00, 0x00},^
{0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x1f},_
